segments,youth,work,recreation,mountain,speed
Transportation,116,129,112,106,83
Utility,82,128,103,88,81
Recreation,119,108,128,117,105
Exercise,102,117,111,122,125
Relaxation,93,111,119,102,106
Fun,122,106,118,117,102
Adventure,120,102,111,125,118
Sport,82,87,80,121,127
